Query,Intent
sqrt of Time,sqrt
normalize of load voltage,normalize
sqr of output current,sqr
max of Source_Voltage,max
sqr of MOSFETvoltage,sqr
min of output power,min
div of supply voltage,div
peak of RCDClampCurrent,peak
sum of MOSFETjunctionTemp,sum
median of RCDClampCurrent,median
mod of loss power,mod
clip of loss power,clip
abs min of phase current,abs
mod of output voltage,mod
mod of switching frequency,mod
abs min of MOSFETCurrent,abs
peak-to-peak of switch current,peak-to-peak
std of load current,std
integral of output power,integral
mean of output current,mean
sqr of SecondaryWindingvoltage,sqr
clip of MOSFETjunctionTemp,clip
exp of junction temperature,exp
max of temperature,max
diff of charging current,diff
normalize of RCDClampCurrent,normalize
peak-to-peak of supply voltage,peak-to-peak
min of output current,min
max of MOSFETCurrent,max
normalize of MOSFETjunctionTemp,normalize
average of drain voltage,average
abs of Load1,abs
average of Load1,average
div of RCDClampDissipation,div
exp of output current,exp
derivative of power,derivative
max of PrimaryWindingvoltage,max
mean of output power,mean
abs of RCDClampDissipation,abs
sum of load current,sum
squared mean of loss power,squared
std of phase current,std
div of load current,div
abs max of Load1,abs
std of SecondaryWindingvoltage,std
peak-to-peak of reference voltage,peak-to-peak
sqr of output voltage,sqr
normalize of Time,normalize
mean of Source_Voltage,mean
abs max of inrush current,abs
derivative of temperature,derivative
median of LoadCurrent,median
diff of PrimaryWindingCurrent,diff
std of ambient temperature,std
peak of SecondaryWindingvoltage,peak
diff of ambient temperature,diff
mod of RCDClampVoltage,mod
peak-to-peak of output voltage,peak-to-peak
min of drain voltage,min
rms of output voltage,rms
mod of PrimaryWindingvoltage,mod
derivative of Source_Voltage,derivative
diff of junction temperature,diff
mod of charging current,mod
sqrt of ambient temperature,sqrt
sqr of Time,sqr
abs of Time,abs
average of output voltage,average
mean of input current,mean
abs max of RCDClampDissipation,abs
div of inrush current,div
peak-to-peak of drain voltage,peak-to-peak
rms of load voltage,rms
sqr of RCDClampVoltage,sqr
std of RCDClampCurrent,std
abs of efficiency,abs
abs min of load voltage,abs
div of loss power,div
log of switching frequency,log
derivative of RCDClampVoltage,derivative
variance of PrimaryWindingvoltage,variance
min of SecondaryWindingvoltage,min
max of duty cycle,max
median of Load1,median
median of output power,median
min of inrush current,min
median of supply voltage,median
squared mean of input current,squared
mod of ambient temperature,mod
abs of battery voltage,abs
integral of drain voltage,integral
median of temperature,median
mod of RCDClampCurrent,mod
exp of LoadPower,exp
abs max of load voltage,abs
clip of Source_Voltage,clip
mod of Load1,mod
mean of LoadCurrent,mean
peak of input power,peak
